sku,category,tags,title,price,color,size,images,class,number_of_speeds,max_speed,wheel_diameter,frame_material,brake_type
290435808,Electric transport>Electric bicycles,Ecological,Електровелосипед складаний Formula Smart складаний передній привід із заниженою рамою 36V 10 Ah 350,15290,Red,16,https://content1.rozetka.com.ua/goods/images/big/171230172.jpg|https://content1.rozetka.com.ua/goods/images/big/171230176.jpg|https://content1.rozetka.com.ua/goods/images/big/171230180.jpg|https://content.rozetka.com.ua/goods/images/big/171230183.jpg,City,,30,24,Steel,Disk hydraulic
290435808,Electric transport>Electric bicycles,Ecological,Електровелосипед складаний Formula Smart передній привід занижена рама 36V 10 Ah 350 Вт чорно-сірий,15290,Black,16,https://content1.rozetka.com.ua/goods/images/big/171129271.jpg|https://content1.rozetka.com.ua/goods/images/big/171129272.jpg|https://content1.rozetka.com.ua/goods/images/big/171129275.jpg|https://content.rozetka.com.ua/goods/images/big/171129276.jpg,City,,30,24,Steel,Disk hydraulic
295005013,Electric transport>Electric bicycles,Ecological,"Електровелосипед Kerambit 26"" рама 17"" 36V 12Ah 500W складаний з багажником чорно-жовтий",20570,Black-Yellow,18,https://content1.rozetka.com.ua/goods/images/big/175754684.jpg|https://content2.rozetka.com.ua/goods/images/big/175754685.jpg|https://content2.rozetka.com.ua/goods/images/big/175754686.jpg|https://content.rozetka.com.ua/goods/images/big/175754687.jpg,mountin,,40,26,Steel,Disk hydraulic
274231613,Electric transport>Electric bicycles,Ecological,Электровелосипед LIDO 350Вт 12Ач с LCD пультом управления серый с белым,16950,Gray-White,18,https://content1.rozetka.com.ua/goods/images/big/73998241.jpg,City,,40,26,Steel,Disk hydraulic
265220041,Electric transport>Electric bicycles,Ecological,Електровелосипед складаний FOLD 350Вт 10 ач з LCD пультом управління червоний,16990,Red,16,https://content2.rozetka.com.ua/goods/images/big/5307525.jpg,City,,40,26,Steel,Disk hydraulic
81828309,Electric transport>Electric bicycles,Ecological,"Електровелосипед E-motion Fatbike GT 48V 15Ah 1000W 26"" / рама 19""",33990,Yellow,19,https://content.rozetka.com.ua/goods/images/big/14215641.jpg|https://content.rozetka.com.ua/goods/images/big/14215650.jpg|https://content.rozetka.com.ua/goods/images/big/14215656.jpg,mountin,,50,26,Steel,Disk hydraulic
157275581,Electric transport>Electric bicycles,Ecological,"Електровелосипед E-motion Fatbike GT 48V 15Ah 1000W 26"" / рама 19""",33990,Blue,19,https://content.rozetka.com.ua/goods/images/big/19650594.jpg|https://content1.rozetka.com.ua/goods/images/big/19650607.jpg|https://content2.rozetka.com.ua/goods/images/big/19650626.jpg,mountin,,50,26,Steel,Disk hydraulic
157275560,Electric transport>Electric bicycles,Ecological,"Електровелосипед E-motion Fatbike GT 48V 15Ah 1000W 26"" / рама 19""",33990,Black,19,https://content1.rozetka.com.ua/goods/images/big/19650732.jpg|https://content2.rozetka.com.ua/goods/images/big/19650739.jpg|https://content1.rozetka.com.ua/goods/images/big/19650744.jpg,mountin,,50,26,Steel,Disk hydraulic
157275511,Electric transport>Electric bicycles,Ecological,"Електровелосипед E-motion Fatbike GT 48V 15Ah 1000W 26"" / рама 19""",33990,Green,19,https://content1.rozetka.com.ua/goods/images/big/19650614.jpg|https://content2.rozetka.com.ua/goods/images/big/19650634.jpg|https://content2.rozetka.com.ua/goods/images/big/19650643.jpg,mountin,,50,26,Steel,Disk hydraulic
157275763,Electric transport>Electric bicycles,Ecological,"Електровелосипед E-motion Fatbike GT 48V 15Ah 1000W 26"" / рама 19""",33990,Red,19,https://content.rozetka.com.ua/goods/images/big/19650642.jpg|https://content.rozetka.com.ua/goods/images/big/19650653.jpg|https://content1.rozetka.com.ua/goods/images/big/19650675.jpg,mountin,,50,26,Steel,Disk hydraulic
220988719,Electric transport>Electric bicycles,Ecological,"Електровелосипед Mustang Woman 26 колесо 36В 350Вт 8Ач літій іонний акумулятор, чорний",16880,Black,18,https://content.rozetka.com.ua/goods/images/big/25556843.jpg|https://content2.rozetka.com.ua/goods/images/big/25556898.jpg|https://content2.rozetka.com.ua/goods/images/big/25556898.jpg,City,,40,26,Steel,Disk hydraulic
214845847,Electric transport>Electric bicycles,Ecological,Електровелосипед Myatu X80M Blue-Black,30132,Blue-Black,14,https://content2.rozetka.com.ua/goods/images/big/24819067.jpg|https://content2.rozetka.com.ua/goods/images/big/24819133.jpg|https://content2.rozetka.com.ua/goods/images/big/24819169.jpg|https://content2.rozetka.com.ua/goods/images/big/24819233.jpg|https://content.rozetka.com.ua/goods/images/big/24819266.jpg,City,,30,20,Steel,Disk hydraulic
157275217,Electric transport>Electric bicycles,Ecological,"Електровелосипед MAKE 36V 12Ah 500W рама 17""/ 26""",21790,Red,17,https://content.rozetka.com.ua/goods/images/big/106397980.png|https://content1.rozetka.com.ua/goods/images/big/106398067.png|https://content2.rozetka.com.ua/goods/images/big/106398074.png,mountin,,40,26,Aluminum,Disk hydraulic
157275455,Electric transport>Electric bicycles,Ecological,"Електровелосипед MAKE 36V 12Ah 500W рама 17""/ 26""",21790,Bue,17,https://content.rozetka.com.ua/goods/images/big/106398089.png|https://content2.rozetka.com.ua/goods/images/big/106398098.png|https://content2.rozetka.com.ua/goods/images/big/106398109.png,mountin,,40,26,Aluminum,Disk hydraulic
157275539,Electric transport>Electric bicycles,Ecological,"Електровелосипед MAKE 36V 12Ah 500W рама 17""/ 26""",21790,Green,17,https://content2.rozetka.com.ua/goods/images/big/106398250.png|https://content1.rozetka.com.ua/goods/images/big/106398276.png|https://content.rozetka.com.ua/goods/images/big/106398283.png,mountin,,40,26,Aluminum,Disk hydraulic
157275791,Electric transport>Electric bicycles,Ecological,"Електровелосипед MAKE 36V 12Ah 500W рама 17""/ 26""",21790,Whire,17,https://content2.rozetka.com.ua/goods/images/big/106398351.png,mountin,,40,26,Aluminum,Disk hydraulic
190032634,Electric transport>Electric bicycles,Ecological,Електровелосипед Zhengbu M8 Black from red,18833,Red,16,https://content2.rozetka.com.ua/goods/images/big/118973418.jpg|https://content2.rozetka.com.ua/goods/images/big/118973450.jpg|https://content.rozetka.com.ua/goods/images/big/118973482.jpg|https://content.rozetka.com.ua/goods/images/big/118973503.jpg|https://content1.rozetka.com.ua/goods/images/big/118973518.jpg|https://content1.rozetka.com.ua/goods/images/big/118973528.jpg,Adalts,,25,26,Aluminum,Disk hydraulic
286672493,Electric transport>Electric bicycles,Ecological,Електровелосипед Заря Силач 450W 60V/12AH червоний,22540,Red,16,https://content2.rozetka.com.ua/goods/images/big/173742375.jpg|https://content1.rozetka.com.ua/goods/images/big/173742377.jpg|https://content.rozetka.com.ua/goods/images/big/173742379.jpg|https://content1.rozetka.com.ua/goods/images/big/173742381.jpg,City,,40,26,Aluminum,Disk hydraulic
